campaign_id,name,start_date,end_date,duration_days,total_budget
1,Campaign_1_Launch,25-05-2025,23-07-2025,59,24021.32
2,Campaign_2_Launch,16-04-2025,07-07-2025,82,79342.41
3,Campaign_3_Winter,04-05-2025,29-06-2025,56,14343.25
4,Campaign_4_Summer,04-06-2025,08-08-2025,65,45326.6
5,Campaign_5_Launch,11-07-2025,28-08-2025,48,68376.69
6,Campaign_6_Winter,21-06-2025,13-09-2025,84,78607.49
7,Campaign_7_Winter,25-05-2025,05-08-2025,72,43744.59
8,Campaign_8_Q3,25-02-2025,07-04-2025,41,39953.19
9,Campaign_9_Launch,25-05-2025,13-07-2025,49,40094.07
10,Campaign_10_Winter,17-05-2025,21-07-2025,65,19669.27
11,Campaign_11_Q3,24-04-2025,02-07-2025,69,79067.91
12,Campaign_12_Q3,08-03-2025,01-06-2025,85,30525.65
13,Campaign_13_Winter,19-04-2025,01-07-2025,73,21855.42
14,Campaign_14_Summer,15-04-2025,04-06-2025,50,39849.94
15,Campaign_15_Launch,21-03-2025,11-06-2025,82,85407.23
16,Campaign_16_Winter,07-03-2025,04-06-2025,89,71521.88
17,Campaign_17_Launch,22-04-2025,18-07-2025,87,86675.92
18,Campaign_18_Q3,19-04-2025,15-06-2025,57,48832.61
19,Campaign_19_Winter,06-03-2025,15-05-2025,70,33182.45
20,Campaign_20_Winter,17-02-2025,18-05-2025,90,98904.66
21,Campaign_21_Winter,19-04-2025,22-06-2025,64,37290.81
22,Campaign_22_Q3,17-03-2025,22-04-2025,36,35743.4
23,Campaign_23_Winter,10-07-2025,02-10-2025,84,26001.67
24,Campaign_24_Summer,30-03-2025,23-05-2025,54,56692.87
25,Campaign_25_Winter,07-06-2025,04-09-2025,89,52725.49
26,Campaign_26_Winter,01-04-2025,17-06-2025,77,44538.87
27,Campaign_27_Q3,13-02-2025,02-04-2025,48,12986.3
28,Campaign_28_Winter,09-05-2025,30-06-2025,52,32844.79
29,Campaign_29_Winter,16-07-2025,06-10-2025,82,19773.66
30,Campaign_30_Winter,25-02-2025,10-05-2025,74,73911.29
31,Campaign_31_Summer,27-05-2025,22-07-2025,56,72208.34
32,Campaign_32_Summer,02-05-2025,14-06-2025,43,81744.53
33,Campaign_33_Summer,08-04-2025,04-07-2025,87,59264.68
34,Campaign_34_Winter,10-07-2025,08-09-2025,60,26104.3
35,Campaign_35_Launch,23-07-2025,12-10-2025,81,71626.83
36,Campaign_36_Q3,07-03-2025,13-05-2025,67,58801.99
37,Campaign_37_Launch,18-05-2025,01-08-2025,75,46445.2
38,Campaign_38_Q3,21-04-2025,27-05-2025,36,71038.28
39,Campaign_39_Q3,18-05-2025,27-07-2025,70,55638.18
40,Campaign_40_Summer,04-03-2025,20-04-2025,47,53936.41
41,Campaign_41_Winter,02-04-2025,12-06-2025,71,85220.35
42,Campaign_42_Summer,08-06-2025,25-07-2025,47,7918.04
43,Campaign_43_Winter,23-04-2025,12-06-2025,50,81350.3
44,Campaign_44_Q3,14-07-2025,22-09-2025,70,15914.87
45,Campaign_45_Summer,26-05-2025,05-08-2025,71,53303.55
46,Campaign_46_Winter,10-05-2025,07-08-2025,89,94023.76
47,Campaign_47_Launch,17-06-2025,03-09-2025,78,69493.36
48,Campaign_48_Winter,08-04-2025,01-06-2025,54,13842.07
49,Campaign_49_Winter,21-02-2025,17-05-2025,85,28962.34
50,Campaign_50_Summer,02-07-2025,03-08-2025,32,47274.7
