user_id,user_gender,user_age,age_group,country,location,interests
1.20E+01,Male,56,55-65,Japan,New Jeremy,"lifestyle, health"
5.00E+01,Female,17,16-17,Canada,Lake Juanville,"food, finance"
62,Female,16,16-17,France,Davidside,"photography, art, food"
67,Male,38,35-44,United States,East Gary,"travel, gaming, art"
7.00E+01,Male,23,18-24,United States,Audreyton,"photography, food"
95,Female,28,25-34,United Kingdom,Port Thomas,"photography, fashion"
1.07E+02,Male,33,25-34,United States,Elizabethshire,food
1.20E+02,Male,38,35-44,Canada,New Roberto,"fashion, news"
1.72E+02,Female,31,25-34,United Kingdom,Markside,"finance, sports"
2.50E+02,Male,20,18-24,Mexico,Mcdonaldmouth,finance
2.61E+02,Male,16,16-17,Mexico,Port Jenniferside,art
336,Female,25,25-34,United States,West Michael,fashion
4.00E+02,Male,23,18-24,United States,Karenville,"photography, fashion, finance"
4.30E+02,Female,20,18-24,United Kingdom,Fullermouth,"health, sports, technology"
4.49E+02,Male,27,25-34,India,Sanchezberg,"photography, gaming, art"
468,Female,19,18-24,United States,Mccormicktown,finance
5.16E+02,Female,24,18-24,Brazil,Johnsonport,"fitness, fashion, health"
5.22E+02,Female,22,18-24,Japan,Paynestad,photography
5.30E+02,Male,21,18-24,United States,Stoneshire,"finance, sports, news"
545,Male,26,25-34,India,Duranburgh,"news, fitness"
559,Female,25,25-34,United Kingdom,Jerryport,"health, travel, sports"
567,Male,28,25-34,United States,Lake Andrew,gaming
6.12E+02,Female,32,25-34,United Kingdom,South Tinaville,food
6.86E+02,Male,32,25-34,India,Stephanieburgh,"technology, sports"
7.24E+02,Male,27,25-34,Japan,Lake Nathan,"technology, sports"
894,Other,16,16-17,United States,North Pattychester,fashion
1029,Male,29,25-34,United States,Port Michael,"finance, technology, gaming"
1049,Other,26,25-34,Brazil,South Robertbury,finance
1062,Female,25,25-34,Germany,Freemanville,"art, lifestyle, finance"
1095,Female,42,35-44,United States,Jamesville,"lifestyle, technology"
1111,Male,39,35-44,United Kingdom,East Melaniehaven,"fashion, sports, health"
1187,Other,16,16-17,France,East Linda,"technology, finance, news"
1239,Female,42,35-44,Brazil,North Johnshire,health
1320,Male,44,35-44,United States,West Tracychester,"finance, technology"
1440,Male,27,25-34,United States,North Christopherborough,fitness
1512,Other,25,25-34,Mexico,Stephanieburgh,health
1549,Female,42,35-44,Australia,Gonzalezberg,"travel, art"
1585,Other,16,16-17,United States,New Kaylaborough,fashion
1.75E+03,Male,27,25-34,United States,West Feliciaburgh,fashion
1816,Male,25,25-34,United States,North Craig,technology
1820,Female,32,25-34,Canada,West Carla,"gaming, lifestyle"
1863,Female,28,25-34,United Kingdom,Scottstad,news
2082,Male,33,25-34,Canada,Edwardsborough,"technology, lifestyle, sports"
2108,Male,25,25-34,Mexico,West Kennethfurt,"finance, fitness"
2132,Male,21,18-24,Australia,New Mirandaside,"gaming, photography"
2272,Male,40,35-44,Brazil,Patrickton,"sports, technology"
2398,Male,23,18-24,United States,North Christinachester,lifestyle
2460,Male,24,18-24,Brazil,Monicaville,"photography, fitness"
2600,Male,30,25-34,Brazil,East Jenniferborough,technology
2.64E+03,Male,33,25-34,Germany,New Richard,"fashion, food, art"
2726,Male,22,18-24,Canada,Lake Rhonda,"art, news"
2859,Female,32,25-34,Australia,Patriciaview,"art, food"
2929,Female,35,35-44,Australia,Kathybury,"art, fitness"
2943,Female,46,45-54,Germany,Nicholsland,"gaming, photography"
2955,Female,16,16-17,United States,North Aaronland,lifestyle
3024,Male,17,16-17,United States,Marytown,photography
3028,Male,34,25-34,United Kingdom,Williamsland,sports
3.19E+03,Male,44,35-44,Canada,Sandovalport,"news, fashion"
3283,Male,36,35-44,Canada,North Brandon,"technology, health, fashion"
3385,Female,23,18-24,Canada,Ralphville,lifestyle
3454,Male,20,18-24,Germany,West Jessetown,"gaming, art"
3463,Male,48,45-54,United States,Lewisbury,"technology, fashion, travel"
3.55E+03,Other,23,18-24,United States,Middletonfort,health
3571,Female,17,16-17,Brazil,Wilsonborough,sports
3579,Male,24,18-24,United Kingdom,New Sarah,"sports, finance, health"
3834,Female,24,18-24,Germany,West Kelli,"art, lifestyle"
3893,Female,16,16-17,India,Raymondtown,"fitness, photography"
4073,Male,26,25-34,Germany,East Lindabury,"photography, lifestyle"
4248,Male,22,18-24,Brazil,Jacksonborough,"news, technology"
4323,Male,27,25-34,Canada,Nguyenfort,food
4341,Male,23,18-24,Brazil,South Kaitlin,"fashion, technology, photography"
4424,Female,31,25-34,United Kingdom,Tiffanybury,"health, art, photography"
4525,Female,21,18-24,Brazil,Jonesland,food
4625,Female,16,16-17,Australia,Chavezland,"technology, fashion"
4728,Male,55,55-65,United States,Melanieburgh,"gaming, news, fashion"
4784,Other,19,18-24,United States,New Alicia,technology
4785,Male,25,25-34,Japan,Port Josephmouth,"photography, travel"
4822,Male,41,35-44,Canada,West Paulmouth,"travel, health, art"
5037,Female,16,16-17,Canada,West Stephanieton,"gaming, finance"
5055,Male,34,25-34,United States,Murraymouth,"food, fashion, travel"
5097,Other,30,25-34,Germany,South Crystal,"health, technology, finance"
5098,Male,27,25-34,United States,West Karenton,sports
5330,Other,28,25-34,Canada,Port Nicole,"finance, gaming, news"
5340,Female,27,25-34,Australia,Mcphersonville,"food, gaming"
5341,Male,26,25-34,United States,Lake Angelamouth,"travel, news"
5362,Male,39,35-44,India,East Josefort,food
5379,Male,21,18-24,Canada,Wilsonton,"fashion, sports"
5409,Male,31,25-34,Australia,Port Zoechester,"news, gaming, technology"
5436,Female,28,25-34,United Kingdom,North Michaelmouth,"finance, art, fitness"
5441,Male,40,35-44,Canada,West Amy,"health, sports"
5720,Female,32,25-34,Brazil,Jacksonmouth,"technology, travel"
5891,Female,29,25-34,India,Hamiltonchester,"fitness, lifestyle, travel"
6080,Female,16,16-17,Australia,Elizabethport,"health, food"
6090,Male,23,18-24,Germany,South Timothyfurt,"finance, fashion"
6212,Male,16,16-17,Germany,New Douglashaven,"health, sports"
6290,Male,22,18-24,United States,Tannermouth,"art, gaming"
6362,Female,33,25-34,Australia,Lake Barbaraville,"travel, sports"
6447,Male,26,25-34,India,South Kimberlyport,"lifestyle, sports, fitness"
6471,Female,41,35-44,Canada,East Michaelville,"health, lifestyle"
6477,Female,17,16-17,United Kingdom,New Deannafort,fashion
6503,Other,35,35-44,United States,Murphymouth,"travel, fitness"
6560,Male,20,18-24,United States,North Jeff,"technology, lifestyle, fashion"
6618,Male,28,25-34,United States,Lake Gary,"news, finance, lifestyle"
6627,Female,32,25-34,Canada,Port Susanmouth,"food, fashion, gaming"
6679,Male,41,35-44,Australia,Mcmahonfurt,sports
6706,Male,30,25-34,United States,Michaelfurt,"fitness, art"
6726,Male,32,25-34,Germany,Ryanville,"gaming, sports, travel"
6747,Female,20,18-24,Mexico,Port Olivia,"travel, gaming, finance"
6763,Female,34,25-34,Canada,West Brittanyhaven,"fashion, lifestyle, finance"
6.81E+03,Male,20,18-24,Canada,South Kimberlyburgh,"fashion, gaming"
6834,Male,27,25-34,France,South Ricardo,travel
6883,Male,23,18-24,Canada,Davidmouth,"news, fashion, health"
6917,Male,19,18-24,United Kingdom,Lake Ericaborough,travel
7035,Male,20,18-24,Brazil,Frankland,"news, finance, fashion"
7121,Female,27,25-34,Canada,West Javier,"finance, sports"
7191,Male,16,16-17,United States,Johnathanport,"fitness, art"
7232,Other,22,18-24,Canada,Lake Kevin,"health, sports"
7300,Female,27,25-34,United States,East Virginia,"sports, news"
7366,Male,19,18-24,Australia,West Deniseberg,"lifestyle, travel, fitness"
7752,Male,26,25-34,Germany,North Ryan,"technology, lifestyle, fitness"
7755,Female,47,45-54,Australia,Danielbury,"fitness, photography, food"
7808,Female,29,25-34,Australia,Port Anthony,"art, photography"
7960,Other,32,25-34,Japan,West Mary,"health, finance, fashion"
7992,Male,19,18-24,India,Martinborough,"news, fitness"
7997,Male,23,18-24,Brazil,Jennifermouth,"fashion, art, health"
8076,Male,24,18-24,Canada,Mallorystad,"news, gaming, travel"
8133,Male,23,18-24,United States,West Margaret,travel
8198,Female,31,25-34,Canada,Moranland,photography
8476,Other,19,18-24,United States,Port Ericaport,"lifestyle, finance, fitness"
8559,Other,42,35-44,United Kingdom,Anthonystad,"sports, gaming"
8.60E+03,Male,27,25-34,Canada,Larsenland,"gaming, fitness"
8.64E+03,Female,32,25-34,Germany,Carterton,"news, fitness"
8804,Male,22,18-24,France,Port Zachary,art
9194,Female,25,25-34,Brazil,Angelaton,"news, technology"
9317,Female,27,25-34,United Kingdom,New Donald,"sports, lifestyle"
9328,Male,22,18-24,United Kingdom,Ryanborough,art
9434,Male,16,16-17,India,Port Sarah,lifestyle
9473,Male,27,25-34,United Kingdom,Port Barbara,"health, technology"
9553,Other,24,18-24,Canada,West Zachary,"sports, fashion"
9.56E+03,Other,20,18-24,United Kingdom,East Wendyview,"food, gaming"
9621,Female,31,25-34,United States,South Amy,"technology, fitness"
9885,Male,26,25-34,Canada,Mistyton,food
10005,Male,34,25-34,Brazil,North John,"fitness, photography, finance"
10169,Female,27,25-34,United Kingdom,North Christopher,"fitness, food"
10290,Male,29,25-34,United Kingdom,North Andrea,"lifestyle, fashion, fitness"
10341,Other,54,45-54,United Kingdom,New Lisaland,lifestyle
10394,Female,35,35-44,Canada,North Dwayneberg,"health, finance"
10464,Male,23,18-24,Brazil,East Alexis,"technology, sports, health"
10599,Male,16,16-17,United States,North Danielmouth,fitness
10619,Other,18,18-24,United Kingdom,Michellestad,food
10621,Female,40,35-44,Germany,Michealfort,"finance, food"
10624,Female,16,16-17,France,Gregport,"travel, gaming"
10647,Male,21,18-24,Canada,Lake Michael,technology
10936,Female,33,25-34,Canada,East Jacobfurt,"food, art"
10981,Other,23,18-24,United Kingdom,Bowenhaven,"fitness, gaming"
10984,Male,16,16-17,United States,Lake Kylie,"lifestyle, travel"
11025,Other,31,25-34,United States,North Ericview,"lifestyle, news, travel"
11053,Male,37,35-44,United States,Steventown,"gaming, health, news"
11068,Male,29,25-34,Japan,Lake Jonathanview,"gaming, fitness, art"
11091,Female,28,25-34,Germany,East Peggy,"food, finance"
11135,Female,26,25-34,United States,Dianahaven,"travel, technology, finance"
11144,Female,37,35-44,United States,South Suzanne,sports
11159,Male,21,18-24,United States,South Jeremy,"fitness, technology"
Dec-30,Female,20,18-24,United Kingdom,Stanleymouth,"news, fashion, gaming"
11411,Other,33,25-34,United States,Richardport,"technology, art"
11492,Female,19,18-24,Brazil,Callahanside,"fitness, technology, fashion"
11556,Male,29,25-34,United States,Port Mark,technology
11674,Male,32,25-34,Canada,New Andrechester,"lifestyle, finance, health"
11746,Female,16,16-17,United Kingdom,Lake Aimee,"food, technology"
11809,Male,36,35-44,United Kingdom,North Kayla,"news, technology"
12050,Male,36,35-44,United States,West Jason,news
12348,Female,29,25-34,India,Goodmanborough,fashion
12478,Male,19,18-24,United States,Grimesberg,technology
12622,Female,42,35-44,United Kingdom,Webbfort,travel
12675,Female,24,18-24,Germany,Terrybury,lifestyle
12823,Female,30,25-34,Mexico,North Erikaland,"sports, art"
12965,Female,16,16-17,Australia,Smithside,"gaming, finance, travel"
13088,Female,34,25-34,United Kingdom,Jasmineland,lifestyle
13091,Male,16,16-17,Mexico,Lake Marymouth,"art, lifestyle, technology"
13115,Female,53,45-54,Brazil,West Andrealand,"news, sports"
13421,Male,23,18-24,United States,Jacksonshire,"health, travel, lifestyle"
13547,Female,30,25-34,India,New Evanmouth,"travel, food"
13584,Male,25,25-34,United Kingdom,Port Stephanieton,"food, photography, gaming"
13864,Male,18,18-24,Australia,West Larry,"health, art, gaming"
13919,Male,32,25-34,United Kingdom,Longborough,health
13928,Male,32,25-34,United Kingdom,Port Ericfurt,travel
13988,Female,32,25-34,Brazil,Port Brendanmouth,fashion
